公司代码 ,公司简称 ,代码,简称,上市日期,Symbol
600000,  浦发银行,600000,  浦发银行,  1999-11-10,600000.SS
600004,  白云机场,600004,  白云机场,  2003-04-28,600004.SS
600006,  东风汽车,600006,  东风汽车,  1999-07-27,600006.SS
600007,  中国国贸,600007,  中国国贸,  1999-03-12,600007.SS
600008,  首创股份,600008,  首创股份,  2000-04-27,600008.SS
600009,  上海机场,600009,  上海机场,  1998-02-18,600009.SS
600010,  包钢股份,600010,  包钢股份,  2001-03-09,600010.SS
600011,  华能国际,600011,  华能国际,  2001-12-06,600011.SS
600012,  皖通高速,600012,  皖通高速,  2003-01-07,600012.SS
600015,  华夏银行,600015,  华夏银行,  2003-09-12,600015.SS
600016,  民生银行,600016,  民生银行,  2000-12-19,600016.SS
600017,  日照港,600017,  日照港,  2006-10-17,600017.SS
600018,  上港集团,600018,  上港集团,  2006-10-26,600018.SS
600019,  宝钢股份,600019,  宝钢股份,  2000-12-12,600019.SS
600020,  中原高速,600020,  中原高速,  2003-08-08,600020.SS
600021,  上海电力,600021,  上海电力,  2003-10-29,600021.SS
600022,  山东钢铁,600022,  山东钢铁,  2004-06-29,600022.SS
600023,  浙能电力,600023,  浙能电力,  2013-12-19,600023.SS
600025,  华能水电,600025,  华能水电,  2017-12-15,600025.SS
600026,  中远海能,600026,  中远海能,  2002-05-23,600026.SS
600027,  华电国际,600027,  华电国际,  2005-02-03,600027.SS
600028,  中国石化,600028,  中国石化,  2001-08-08,600028.SS
600029,  南方航空,600029,  南方航空,  2003-07-25,600029.SS
600030,  中信证券,600030,  中信证券,  2003-01-06,600030.SS
600031,  三一重工,600031,  三一重工,  2003-07-03,600031.SS
600033,  福建高速,600033,  福建高速,  2001-02-09,600033.SS
600035,  楚天高速,600035,  楚天高速,  2004-03-10,600035.SS
600036,  招商银行,600036,  招商银行,  2002-04-09,600036.SS
600037,  歌华有线,600037,  歌华有线,  2001-02-08,600037.SS
600038,  中直股份,600038,  中直股份,  2000-12-18,600038.SS
600039,  四川路桥,600039,  四川路桥,  2003-03-25,600039.SS
600048,  保利地产,600048,  保利地产,  2006-07-31,600048.SS
600050,  中国联通,600050,  中国联通,  2002-10-09,600050.SS
600051,  宁波联合,600051,  宁波联合,  1997-04-10,600051.SS
600052,  浙江广厦,600052,  浙江广厦,  1997-04-18,600052.SS
